hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
257,17,114.91322314049587,1074.0682839084693
258,18,0.0,1434.120863778362
259,19,0.0,2503.4433954441483
260,20,0.0,2543.9128433709
261,21,0.0,1537.9515970610269
262,22,0.0,1174.8960554738896
263,23,0.0,1075.4802796952736
264,0,0.0,1329.6227848307853
265,1,0.0,604.9360157228436
266,2,0.0,0.0
267,3,0.0,0.0
268,4,0.0,0.0
269,5,0.0,0.0
270,6,0.0,305.4273962433926
271,7,142.40495867768595,453.802382266624
272,8,492.35537190082647,261.6010274221159
273,9,794.0702479338843,262.0809391253355
274,10,998.5537190082645,196.53370209304146
275,11,1108.9669421487604,516.8370467394501
276,12,1101.4669421487604,482.2777705717154
277,13,1096.5082644628098,518.5221563838008
278,14,993.0991735537191,444.9623851871542
279,15,789.504132231405,430.969186648568
280,16,487.56198347107437,636.2575634387545
281,17,129.81404958677686,708.3779620852283
282,18,0.0,633.6136366816348
283,19,0.0,973.4229863790628
284,20,0.0,1902.491711330081
285,21,0.0,2262.789258011369
286,22,0.0,1986.7053389851212
287,23,0.0,1420.7566839655478
288,0,0.0,1494.5119049009527
289,1,0.0,1942.50944580873
290,2,0.0,1217.8494074318141
291,3,0.0,1145.7429151423637
292,4,0.0,1178.831547766951
293,5,0.0,496.4575673916135
294,6,0.0,726.2668727921535
295,7,142.3305785123967,585.8325425284719
296,8,500.9710743801653,402.91108327868153
297,9,809.8966942148761,399.832457190278
298,10,1020.8264462809917,252.289894107762
299,11,1096.5495867768595,467.2116754307182
300,12,1087.7685950413224,1136.4489008607593
301,13,1081.8801652892562,985.6304359142606
302,14,1000.0,1083.554113291218
303,15,774.1322314049587,1174.320243863973
304,16,472.74793388429754,749.2696379863934
305,17,124.68388429752066,819.3461226935626
306,18,0.0,854.0064742209736
307,19,0.0,547.8642263785339
308,20,0.0,561.2442155235436
309,21,0.0,682.6839771291162
310,22,0.0,1329.292275813207
311,23,0.0,1729.346127403136
312,0,0.0,2088.302057653591
313,1,0.0,2311.2321708581317
314,2,0.0,1185.501978490704
315,3,0.0,869.4660654088916
316,4,0.0,1063.3724819104714
317,5,0.0,1631.6025805899853
318,6,0.0,1612.1737928657626
319,7,137.05785123966945,1004.0520764519514
320,8,477.74793388429754,75.06125527768691
321,9,724.3388429752066,382.37666458165734
322,10,886.6735537190083,393.94208546576084
323,11,997.5826446280992,702.6572753943805
324,12,1052.5,919.5651910046977
325,13,986.4876033057851,808.1631489097515
326,14,851.2809917355372,147.4171338372798
327,15,722.9958677685951,291.07434450032963
328,16,451.38429752066116,236.53743004493208
329,17,128.12603305785126,833.6886905871927
330,18,0.0,1630.9334198294848
331,19,0.0,1353.5532241422568
332,20,0.0,1704.0348284558827
333,21,0.0,2109.1778569569356
334,22,0.0,1744.705097617284
335,23,0.0,768.328567073358
336,0,0.0,327.7115576951273
337,1,0.0,385.92069884476246
338,2,0.0,752.6753533825425
339,3,0.0,1350.5142811563178
340,4,0.0,216.6383018481914
341,5,0.0,225.30535870233317
342,6,0.0,90.99414666653196
343,7,131.52066115702482,204.7743665096973
344,8,219.21487603305786,347.02279031467145
345,9,175.7396694214876,442.30313730664426
346,10,332.56198347107437,481.28267892524156
347,11,678.8223140495868,525.5304672187744
348,12,1003.2438016528926,305.02320956273286
349,13,1013.3471074380166,1203.4700773452334
350,14,796.404958677686,751.9102734807575
351,15,785.5371900826447,826.6182365467326
352,16,564.0495867768595,683.5648312126095
353,17,177.9214876033058,400.0593270525146
354,18,0.0,66.63295581046852
355,19,0.0,0.0
356,20,0.0,306.8318661605749
357,21,0.0,1208.2329814943248
358,22,0.0,1419.6210951475643
359,23,0.0,1340.9601114337627
360,0,0.0,1846.5245340749902
361,1,0.0,1887.3320185376203
362,2,0.0,1524.2888765648393
363,3,0.0,1260.5557380246296
364,4,0.0,437.09280977188246
365,5,0.0,0.0
366,6,0.0,0.0
367,7,114.3305785123967,0.0
368,8,458.05785123966945,0.0
369,9,767.6239669421487,56.51100639213193
370,10,989.504132231405,690.7120506919582
371,11,980.1859504132232,790.2181314604029
372,12,966.0537190082645,810.1166109769224
373,13,963.6157024793389,659.244793780862
374,14,825.2892561983472,625.0588959301136
375,15,521.9214876033058,561.8213430290509
376,16,320.06198347107437,676.8150427271617
377,17,85.44628099173555,1807.3744992203256
378,18,0.0,1014.2314132865249
379,19,0.0,1330.3789274938595
380,20,0.0,1496.7634374282807
381,21,0.0,1121.8586027699978
382,22,0.0,1378.2502058336488
383,23,0.0,2163.8451361528228
384,0,0.0,2130.217335706146
385,1,0.0,413.19957300051715
386,2,0.0,851.2335759070246
387,3,0.0,800.2611242456255
388,4,0.0,747.2896535712225
389,5,0.0,582.5128841759733
390,6,0.0,174.47693628224414
391,7,133.7417355371901,66.89421082034981
392,8,462.004132231405,127.67667540059865
393,9,717.0247933884298,285.6803513843229
394,10,923.1198347107438,397.4167371242121
395,11,1040.309917355372,143.11890320156436
396,12,1069.8553719008264,0.0
397,13,1026.9214876033059,0.0
398,14,907.8512396694215,524.1809679043888
399,15,701.6528925619834,331.65297554012346
400,16,433.69834710743805,704.0789864964338
401,17,128.55371900826447,697.717262610052
402,18,0.0,548.1642416803156
403,19,0.0,1016.3191043478115
404,20,0.0,1656.8681322938887
405,21,0.0,1311.458959459276
406,22,0.0,417.03436353454066
407,23,0.0,393.03281500193003
408,0,0.0,0.0
409,1,0.0,253.44731822941097
410,2,0.0,465.2038917906915
411,3,0.0,424.4665933389567
412,4,0.0,228.45779469785288
413,5,0.0,108.42430151834155
414,6,0.0,179.03856456097785
415,7,127.78925619834712,267.329307928142
416,8,449.0082644628099,926.2549897091488
417,9,719.00826446281,764.7430166765713
418,10,883.7603305785124,1232.7400060957737
419,11,1016.2809917355372,2322.0294934590383
420,12,1073.202479338843,1370.0488515682985
421,13,1049.896694214876,419.53432539878884
422,14,975.2892561983472,355.3135095230971
423,15,775.2685950413223,565.8306095078511
424,16,497.6239669421488,1083.762870966506
425,17,151.65289256198346,1301.5350402120323
426,18,0.0,2475.610869372213
427,19,0.0,2628.7855438197926
428,20,0.0,1804.944106311411
429,21,0.0,1850.5468991580556
430,22,0.0,1792.1031921129115
431,23,0.0,1706.0608178079174
432,0,0.0,1142.050035047418
433,1,0.0,493.446667435173
434,2,0.0,449.0337016961015
435,3,0.0,1186.2045932949302
436,4,0.0,645.347770428395
437,5,0.0,463.99621163852254
438,6,0.0,576.6791588114914
439,7,130.09504132231407,147.35740154995668
440,8,461.6528925619835,273.74950521057946
441,9,742.4173553719008,975.1486836011348
442,10,935.3512396694215,487.0275147157413
443,11,1075.309917355372,765.0961492162261
444,12,1076.7768595041323,900.7052346835374
445,13,1065.309917355372,979.5635977898917
446,14,946.50826446281,1239.2599694370126
447,15,766.5495867768595,1513.44697163715
448,16,489.9793388429752,469.2049573407854
449,17,147.21280991735537,754.1811321223306
450,18,0.0,824.8534136255561
451,19,0.0,612.7231550430473
452,20,0.0,440.74582530976073
453,21,0.0,718.1257624541561
454,22,0.0,1571.7533246422356
455,23,0.0,1096.481992355942
456,0,0.0,1090.382933049972
457,1,0.0,1280.9955106103068
458,2,0.0,1411.7477172791469
459,3,0.0,1188.5305147154404
460,4,0.0,649.7280042060979
461,5,0.0,618.0999330033264
462,6,0.0,1083.3683003805993
463,7,138.0681818181818,770.679589230986
464,8,496.6735537190083,0.0
465,9,803.3264462809917,0.0
466,10,1011.1570247933885,247.02609726723426
467,11,1086.8181818181818,597.2604739310441
468,12,1078.5330578512396,465.994909009254
