hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
175,7,111.71,1.4,711.2528138052871,Jodhpur,26.2389,73.0243
176,8,383.66,1.4,1612.174182253751,Jodhpur,26.2389,73.0243
177,9,647.33,1.4,180.0134553441311,Jodhpur,26.2389,73.0243
178,10,793.14,1.4,244.1870462605463,Jodhpur,26.2389,73.0243
179,11,961.07,1.4,221.7585464651812,Jodhpur,26.2389,73.0243
180,12,983.93,1.4,0.0,Jodhpur,26.2389,73.0243
181,13,974.61,1.4,86.50657644607416,Jodhpur,26.2389,73.0243
182,14,870.1,1.4,201.08105306199107,Jodhpur,26.2389,73.0243
183,15,640.74,1.4,87.87998545194611,Jodhpur,26.2389,73.0243
184,16,338.66,1.4,586.9446273798671,Jodhpur,26.2389,73.0243
185,17,90.9,1.4,946.1892383643396,Jodhpur,26.2389,73.0243
186,18,0.0,1.4,1193.2257127165556,Jodhpur,26.2389,73.0243
187,19,0.0,1.4,1243.5225032760902,Jodhpur,26.2389,73.0243
188,20,0.0,1.4,957.8470353287348,Jodhpur,26.2389,73.0243
189,21,0.0,1.4,681.3185687124799,Jodhpur,26.2389,73.0243
190,22,0.0,1.4,642.8691541102485,Jodhpur,26.2389,73.0243
191,23,0.0,1.4,703.2751808750459,Jodhpur,26.2389,73.0243
192,0,0.0,1.4,673.2630283084476,Jodhpur,26.2389,73.0243
193,1,0.0,1.4,774.8956611993344,Jodhpur,26.2389,73.0243
194,2,0.0,1.4,815.3973197661335,Jodhpur,26.2389,73.0243
195,3,0.0,1.4,697.6220413095967,Jodhpur,26.2389,73.0243
196,4,0.0,1.4,286.986401014355,Jodhpur,26.2389,73.0243
197,5,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
198,6,0.0,1.4,115.7239308737104,Jodhpur,26.2389,73.0243
199,7,148.34,1.4,146.51195359600874,Jodhpur,26.2389,73.0243
200,8,503.18,1.4,0.0,Jodhpur,26.2389,73.0243
201,9,675.29,1.4,139.02487079456006,Jodhpur,26.2389,73.0243
202,10,829.09,1.4,250.9140454567448,Jodhpur,26.2389,73.0243
203,11,914.77,1.4,216.61511083084105,Jodhpur,26.2389,73.0243
204,12,841.92,1.4,377.8044124656613,Jodhpur,26.2389,73.0243
205,13,862.58,1.4,592.761811948266,Jodhpur,26.2389,73.0243
206,14,785.91,1.4,636.9975570918124,Jodhpur,26.2389,73.0243
207,15,636.07,1.4,455.7214647317067,Jodhpur,26.2389,73.0243
208,16,418.88,1.4,535.5699867870389,Jodhpur,26.2389,73.0243
209,17,112.69,1.4,658.745342634335,Jodhpur,26.2389,73.0243
210,18,0.0,1.4,1263.9721381092818,Jodhpur,26.2389,73.0243
211,19,0.0,1.4,965.8955894307968,Jodhpur,26.2389,73.0243
212,20,0.0,1.4,2059.9775252696822,Jodhpur,26.2389,73.0243
213,21,0.0,1.4,1585.9679794309127,Jodhpur,26.2389,73.0243
214,22,0.0,1.4,991.6353062425894,Jodhpur,26.2389,73.0243
215,23,0.0,1.4,1599.3315406394065,Jodhpur,26.2389,73.0243
216,0,0.0,1.4,1772.3667426638822,Jodhpur,26.2389,73.0243
217,1,0.0,1.4,1603.5317156957367,Jodhpur,26.2389,73.0243
218,2,0.0,1.4,896.0993389257379,Jodhpur,26.2389,73.0243
219,3,0.0,1.4,489.6868407836008,Jodhpur,26.2389,73.0243
220,4,0.0,1.4,348.89449424353666,Jodhpur,26.2389,73.0243
221,5,0.0,1.4,177.42423120454126,Jodhpur,26.2389,73.0243
222,6,0.0,1.4,445.16094558338455,Jodhpur,26.2389,73.0243
223,7,131.69,1.4,246.98521357678453,Jodhpur,26.2389,73.0243
224,8,425.91,1.4,274.05860508301714,Jodhpur,26.2389,73.0243
225,9,754.24,1.4,49.36833292012891,Jodhpur,26.2389,73.0243
226,10,936.74,1.4,429.1780044986863,Jodhpur,26.2389,73.0243
227,11,865.79,1.4,514.45852951325,Jodhpur,26.2389,73.0243
228,12,982.42,1.4,473.8380562510652,Jodhpur,26.2389,73.0243
229,13,819.21,1.4,413.01515227435976,Jodhpur,26.2389,73.0243
230,14,733.39,1.4,922.8467103674548,Jodhpur,26.2389,73.0243
231,15,555.56,1.4,712.8176383824415,Jodhpur,26.2389,73.0243
232,16,313.24,1.4,555.0301771987115,Jodhpur,26.2389,73.0243
233,17,99.26,1.4,568.8600629975954,Jodhpur,26.2389,73.0243
234,18,0.0,1.4,722.36814663888,Jodhpur,26.2389,73.0243
235,19,0.0,1.4,513.6256406458753,Jodhpur,26.2389,73.0243
236,20,0.0,1.4,862.5162023904704,Jodhpur,26.2389,73.0243
237,21,0.0,1.4,1562.6844854808417,Jodhpur,26.2389,73.0243
238,22,0.0,1.4,1790.6654199803456,Jodhpur,26.2389,73.0243
239,23,0.0,1.4,1250.261116216352,Jodhpur,26.2389,73.0243
240,0,0.0,1.4,700.7904376662941,Jodhpur,26.2389,73.0243
241,1,0.0,1.4,491.1469513666672,Jodhpur,26.2389,73.0243
242,2,0.0,1.4,735.6609776725097,Jodhpur,26.2389,73.0243
243,3,0.0,1.4,543.6628521830582,Jodhpur,26.2389,73.0243
244,4,0.0,1.4,251.2396329678598,Jodhpur,26.2389,73.0243
245,5,0.0,1.4,123.75969822162617,Jodhpur,26.2389,73.0243
246,6,0.0,1.4,348.664770767862,Jodhpur,26.2389,73.0243
