hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
371,11,946.55,790.2181314604029
372,12,932.89,810.1166109769224
373,13,930.54,659.244793780862
374,14,797.0,625.0588959301136
375,15,503.93,561.8213430290509
376,16,309.05,676.8150427271617
377,17,82.44,1807.3744992203256
378,18,0.0,1014.2314132865248
379,19,0.0,1330.3789274938597
380,20,0.0,1496.763437428281
381,21,0.0,1121.8586027699978
382,22,0.0,1378.2502058336488
383,23,0.0,2163.8451361528228
384,0,0.0,2130.217335706146
385,1,0.0,413.1995730005172
386,2,0.0,851.2335759070246
387,3,0.0,800.2611242456255
388,4,0.0,747.2896535712225
389,5,0.0,582.5128841759733
390,6,0.0,174.47693628224414
391,7,129.07,66.89421082034981
392,8,446.05,127.67667540059864
393,9,692.29,285.6803513843229
394,10,891.47,397.4167371242121
395,11,1004.59,143.11890320156436
396,12,1033.1,0.0
397,13,991.65,0.0
398,14,876.71,524.1809679043888
399,15,677.44,331.65297554012346
400,16,418.76,704.0789864964338
401,17,124.07,697.717262610052
402,18,0.0,548.1642416803156
403,19,0.0,1016.3191043478116
404,20,0.0,1656.8681322938887
405,21,0.0,1311.458959459276
406,22,0.0,417.0343635345407
407,23,0.0,393.03281500193
408,0,0.0,0.0
409,1,0.0,253.44731822941097
410,2,0.0,465.2038917906915
411,3,0.0,424.4665933389567
412,4,0.0,228.45779469785288
413,5,0.0,108.42430151834157
414,6,0.0,179.03856456097785
415,7,123.32,267.329307928142
416,8,433.53,926.2549897091488
417,9,694.19,764.7430166765713
418,10,853.45,1232.7400060957737
419,11,981.38,2322.0294934590383
420,12,1036.32,1370.0488515682985
421,13,1013.82,419.5343253987888
422,14,941.82,355.3135095230971
423,15,748.72,565.8306095078511
424,16,480.48,1083.762870966506
425,17,146.37,1301.5350402120323
426,18,0.0,2475.610869372213
427,19,0.0,2628.785543819793
428,20,0.0,1804.944106311411
429,21,0.0,1850.546899158056
430,22,0.0,1792.1031921129115
431,23,0.0,1706.0608178079174
432,0,0.0,1142.050035047418
433,1,0.0,493.446667435173
434,2,0.0,449.0337016961015
435,3,0.0,1186.2045932949302
436,4,0.0,645.347770428395
437,5,0.0,463.99621163852254
438,6,0.0,576.6791588114914
439,7,125.55,147.35740154995668
440,8,445.72,273.74950521057946
441,9,716.86,975.1486836011348
442,10,903.26,487.0275147157413
443,11,1038.37,765.0961492162261
444,12,1061.03,900.7052346835374
445,13,1028.72,979.5635977898916
446,14,914.03,1239.2599694370126
447,15,740.29,1513.44697163715
448,16,473.08,469.2049573407854
449,17,142.08,754.1811321223306
450,18,0.0,824.8534136255561
451,19,0.0,612.7231550430473
452,20,0.0,440.74582530976073
453,21,0.0,718.1257624541561
454,22,0.0,1571.7533246422356
455,23,0.0,1096.481992355942
456,0,0.0,1090.382933049972
457,1,0.0,1280.9955106103068
458,2,0.0,1411.7477172791469
459,3,0.0,1188.5305147154404
460,4,0.0,649.7280042060979
461,5,0.0,618.0999330033264
462,6,0.0,1083.3683003805993
463,7,133.25,770.679589230986
464,8,479.55,0.0
465,9,775.83,0.0
466,10,976.45,247.02609726723423
467,11,1086.24,597.2604739310441
468,12,1077.98,465.994909009254
469,13,1072.71,770.3290648014876
470,14,960.85,250.28857703616129
471,15,760.06,162.89510504753335
472,16,472.33,534.6717709652725
473,17,139.57,330.4068222659487
474,18,0.0,608.7561041874374
475,19,0.0,971.925965122022
476,20,0.0,1538.555725081386
477,21,0.0,1433.322562646301
478,22,0.0,1376.6885728990746
479,23,0.0,2332.089820304712
480,0,0.0,2629.0011844798373
481,1,0.0,2526.0788797356267
482,2,0.0,2371.801965547898
483,3,0.0,2001.2331209192369
484,4,0.0,759.650977508935
485,5,0.0,253.69005038140872
486,6,0.0,0.0
487,7,128.63,0.0
488,8,466.94,0.0
489,9,763.31,0.0
490,10,967.46,24.74581171455278
491,11,1079.19,0.0
492,12,1070.79,0.0
493,13,1064.69,0.0
494,14,961.2,307.7556380546052
495,15,761.12,321.5335775273799
496,16,482.0,1004.4304563112694
497,17,145.07,636.185479798404
498,18,0.0,875.6858067639622
499,19,0.0,1232.357613252006
500,20,0.0,1395.2342812728805
501,21,0.0,1329.9241885200709
502,22,0.0,1406.121180097566
503,23,0.0,298.4112164137387
504,0,0.0,201.475893032044
505,1,0.0,0.0
506,2,0.0,137.17918751569863
507,3,0.0,437.2557899280797
508,4,0.0,416.7616185813961
509,5,0.0,212.3244745099035
510,6,0.0,0.0
511,7,126.21,0.0
512,8,448.95,111.92430116579078
513,9,696.96,491.8172837383714
514,10,902.38,1205.3801487307733
515,11,985.48,882.9923762582912
516,12,998.64,939.4320475602696
517,13,958.29,2068.7705155150948
518,14,850.23,1055.567210319412
519,15,678.66,619.9564859224915
520,16,420.58,1070.9260205617434
521,17,127.3,2159.7385691895897
522,18,0.0,1007.9019489509996
523,19,0.0,988.7834446508506
524,20,0.0,1298.0095925057694
525,21,0.0,1809.592609178708
526,22,0.0,1829.9240347813627
527,23,0.0,1481.0480029941084
528,0,0.0,2171.246844014061
529,1,0.0,2055.0039280960727
530,2,0.0,1189.6216617939908
531,3,0.0,710.9252770560704
532,4,0.0,666.8549008046591
533,5,0.0,438.2137511266809
534,6,0.0,396.4013634294704
535,7,8.38,0.0
536,8,47.48,68.12996552675683
537,9,108.66,0.0
538,10,129.19,0.0
539,11,144.4,0.0
540,12,154.81,0.0
541,13,150.41,971.676327653162
542,14,124.77,2365.130353470747
543,15,96.29,2594.521440084365
544,16,53.44,2010.7266961453456
545,17,13.15,1201.9449524572533
546,18,0.0,1668.5422574747042
547,19,0.0,1291.8360657195876
548,20,0.0,357.99250508006
549,21,0.0,213.88658875880725
550,22,0.0,547.0587730274497
551,23,0.0,504.6972930105153
552,0,0.0,231.79103341858536
553,1,0.0,1276.8788577287842
554,2,0.0,1450.0835898610694
555,3,0.0,1733.0750924337096
556,4,0.0,1907.5236780329744
557,5,0.0,809.9647656984977
558,6,0.0,562.8494962837035
559,7,109.01,196.92452992796424
560,8,322.4,0.0
561,9,191.38,0.0
562,10,720.41,0.0
563,11,582.42,697.3925197221517
564,12,636.86,491.4943235720004
565,13,532.83,63.2060960070479
566,14,840.64,857.5249680992451
567,15,844.38,1784.9048971096915
568,16,631.74,1715.201891988363
569,17,189.61,2005.233251118814
570,18,0.0,1816.3070588806468
571,19,0.0,2225.0380381550967
572,20,0.0,2472.2661599927656
573,21,0.0,1825.1070280839144
574,22,0.0,1224.856746395535
575,23,0.0,1118.5799218328484
576,0,0.0,377.6994692552416
577,1,0.0,438.59522765467983
578,2,0.0,233.7506837272017
579,3,0.0,527.3968712943407
580,4,0.0,185.04119938058963
581,5,0.0,167.20427936422476
582,6,0.0,209.12704221930872
583,7,143.54,155.40708264897123
584,8,509.44,455.3778306310807
585,9,808.76,285.3097543387413
586,10,1015.29,270.1323343508436
587,11,1089.28,447.10464082657984
588,12,1080.45,129.0275220353945
589,13,1074.63,354.3619738258283
590,14,1002.89,866.8608431883482
591,15,796.92,1828.0911755767431
592,16,512.58,2342.201455537667
593,17,167.66,2321.614202576027
594,18,0.0,2434.0846224942206
595,19,0.0,2545.911795537468
596,20,0.0,2488.146995393372
597,21,0.0,2294.265540940039
598,22,0.0,1936.9019056051272
599,23,0.0,1130.5985438230134
600,0,0.0,1638.2292456325888
601,1,0.0,802.5153818893544
602,2,0.0,515.3660302951033
603,3,0.0,389.37381750731305
604,4,0.0,900.0948247467935
605,5,0.0,1751.124684538796
606,6,0.0,1121.1862415240034
607,7,137.32,357.0664769938861
608,8,495.54,1254.6103888528
609,9,799.5,1026.601037373439
610,10,1008.55,642.3769786338249
611,11,1079.09,1088.0208866759
612,12,1070.27,308.39642944709783
613,13,1063.99,1292.0933374212402
614,14,990.95,1577.3311328197108
615,15,787.83,627.9122041127187
616,16,503.97,467.4496723769722
617,17,164.45,1016.2448307122752
618,18,0.0,1520.1780592073897
619,19,0.0,2450.67438344234
620,20,0.0,1842.318149094589
621,21,0.0,996.1451933308416
622,22,0.0,1439.741136029947
623,23,0.0,2204.4489606554343
624,0,0.0,2360.014368740368
625,1,0.0,1279.6876215042223
626,2,0.0,1027.2444886845751
627,3,0.0,2184.669107735023
628,4,0.0,848.6308213092085
629,5,0.0,967.420247942478
630,6,0.0,776.8072589118484
631,7,126.95,272.82895648386864
632,8,469.59,38.35116128129344
633,9,777.67,547.6808501154622
634,10,992.0,309.9150574409516
635,11,1081.36,1183.5672164894222
636,12,1072.85,836.3808105277639
637,13,1066.71,1044.1245028067376
638,14,990.79,688.81077710686
639,15,777.19,1324.2693071003462
640,16,483.2,652.7678418251793
641,17,150.68,345.44224443478515
642,18,0.0,0.0
643,19,0.0,263.9295435635114
644,20,0.0,526.8105502055276
645,21,0.0,1023.0170440290078
646,22,0.0,1317.6427953848836
647,23,0.0,915.6485770346908
648,0,0.0,2178.40255149209
649,1,0.0,1516.6603691350392
650,2,0.0,756.2986760129473
651,3,0.0,1544.0136722019106
652,4,0.0,952.943480181393
653,5,0.0,313.3885406356771
654,6,0.0,639.2244297287782
655,7,116.37,436.6275946924563
656,8,423.06,486.56107052118864
657,9,670.62,365.8349641732752
658,10,793.41,397.1165160872832
659,11,981.01,695.7776594379353
660,12,1020.23,335.80245067161974
661,13,945.23,0.0
662,14,856.12,0.0
663,15,672.87,255.6097369624214
664,16,438.84,0.0
665,17,149.85,213.6161043942835
666,18,0.0,580.399692597907
667,19,0.0,683.9013866352851
668,20,0.0,1030.7701320840315
669,21,0.0,1988.9820410444424
670,22,0.0,2038.3997586432931
671,23,0.0,2038.2391596291195
672,0,0.0,2440.151517223233
673,1,0.0,1164.4222611841074
674,2,0.0,238.4847337467181
675,3,0.0,211.96335841736203
676,4,0.0,638.7715780427316
677,5,0.0,481.27161813810136
678,6,0.0,123.05352891557465
679,7,123.71,0.0
680,8,458.88,130.51776297541207
681,9,767.91,290.9068168879478
682,10,982.07,301.7277546163712
683,11,1083.8,580.0136119091599
684,12,1074.88,160.51746496848716
685,13,1068.8,664.3506815517991
686,14,985.85,985.0042634078516
687,15,782.44,552.1159706631362
688,16,495.12,375.87195366885294
689,17,163.85,529.0968611653662
690,18,0.0,737.6504202589753
691,19,0.0,1366.430318649962
692,20,0.0,2261.940255305796
693,21,0.0,2073.923692343948
694,22,0.0,2346.022507180478
695,23,0.0,1546.5955103597882
696,0,0.0,1038.7035220155913
697,1,0.0,357.0936087535728
698,2,0.0,0.0
699,3,0.0,687.1610475129515
700,4,0.0,1243.403470105765
701,5,0.0,991.236206485846
702,6,0.0,624.4868085360328
703,7,121.7,556.7267199318826
704,8,450.39,679.7019897554129
705,9,740.08,710.8805525432197
706,10,941.92,791.3975403159809
707,11,1064.79,2521.4861371883376
708,12,1074.79,832.7344777850521
